prior_scenario,tau_mean,tau_median,tau_lower,tau_upper,I2_mean,I2_median,I2_lower,I2_upper,scenario,n,effect_size
P1,0.18353085139745678,0.13775305580440994,0.006161706728930185,0.6307000272769613,4.974647921313233,1.87461788590674,0.003813283302382179,28.789535813921844,P1 - High heterogeneity,30,0.2
P2,0.1948166840780283,0.13570181747569515,0.005881951416516734,0.7303169453837309,5.9071702505533725,1.8640025382803533,0.003514973531822581,37.099748407873925,P2 - Low heterogeneity,6,0.8
P2,0.17835583122340595,0.12662829827199626,0.005565583470170185,0.6546254260146258,5.011895715946574,1.6180040969511902,0.00314119495411526,31.348685902766327,P2 - Low heterogeneity,8,0.8
P2,0.16718753825049015,0.12032715611495755,0.005329251617044195,0.6049056764750579,4.448501901305261,1.452657930226068,0.0028640856338715795,27.840545808960275,P2 - Low heterogeneity,10,0.8
P2,0.16073789051859905,0.1170286558300827,0.005202842588545648,0.571787918984815,4.1110049362104935,1.3672931396628396,0.0027277422211456114,25.39524550271143,P2 - Low heterogeneity,12,0.8
P2,0.15787562880750777,0.11490829788154153,0.005098180553774187,0.5628197415683653,3.9659048338832603,1.3123505334969163,0.0026055739711326326,24.624054763042974,P2 - Low heterogeneity,14,0.8
P2,0.15231863543572186,0.11165732387372804,0.0050042004183396905,0.5384817319212871,3.7132281764236703,1.2370981710455493,0.002502937458874032,23.02664360220052,P2 - Low heterogeneity,16,0.8
P2,0.14733007341148824,0.10899705137981072,0.004884041377090506,0.5139186765959102,3.496790272908374,1.1799224594132465,0.002379569662116836,21.46420591726202,P2 - Low heterogeneity,18,0.8
P2,0.14200719826158176,0.10570984885397713,0.004724100190032082,0.4906319822081353,3.255122857715318,1.1118391716773763,0.0022346938956524383,19.78506311086713,P2 - Low heterogeneity,20,0.8
P2,0.13468551919076083,0.10123542169289135,0.0045851083633148895,0.45968094120664743,2.954229436988631,1.0219161289354641,0.0021107563001767976,17.84217842123861,P2 - Low heterogeneity,22,0.8
P2,0.13543746780882593,0.10077373597684638,0.004509260131068167,0.4695634579467109,2.995639260417118,1.011095591147628,0.002044202899019994,18.36461646411782,P2 - Low heterogeneity,24,0.8
P2,0.13122433932810393,0.09843718024637169,0.004390225688632245,0.4499716417102621,2.8123109920073186,0.9663556241028138,0.0019402480071691467,17.069735209036395,P2 - Low heterogeneity,26,0.8
P2,0.1225355229041889,0.09231828495037676,0.004173291359188407,0.4179293477321745,2.472151280401045,0.8509838892507615,0.0017490698252391067,14.969210158353524,P2 - Low heterogeneity,28,0.8
P2,0.12484138475841206,0.0939829448482035,0.004231438292561787,0.42619485796727336,2.5704434032098527,0.8802327458593254,0.0017986722348150577,15.604330807231594,P2 - Low heterogeneity,30,0.8
P2,0.1937198828007393,0.13531354745950194,0.005906164521871439,0.7233178834300271,5.849406939392346,1.8532362561956994,0.0035461525407534562,36.65200411452296,P2 - Low heterogeneity,6,0.5
P2,0.17774788243527684,0.12646150884989504,0.005548160612304132,0.6512889114737243,4.983370333289769,1.614962189443029,0.0031287211985550926,31.144386863507133,P2 - Low heterogeneity,8,0.5
P2,0.16662509320636823,0.12005751801476672,0.005283786688079925,0.6019848388798523,4.424446257847535,1.445237226951652,0.0028226775886392493,27.65914952393564,P2 - Low heterogeneity,10,0.5
P2,0.16008685052722577,0.11680408077471655,0.00519202200655325,0.5689582720476959,4.081897118705031,1.3611589211503998,0.002706002063490895,25.232749252617264,P2 - Low heterogeneity,12,0.5
P2,0.1572768964797643,0.11467458951483206,0.005063578264328324,0.5591708386389572,3.9380497923749735,1.3077552658395675,0.002571280763418457,24.3877892738793,P2 - Low heterogeneity,14,0.5
P2,0.1517099993529656,0.11143328884900017,0.004967111520457935,0.5344167561829891,3.682421417808055,1.23281362704091,0.0024692594001200037,22.742968673827704,P2 - Low heterogeneity,16,0.5
P2,0.146850120831584,0.10885511112977848,0.004895804725317441,0.5112558679847853,3.4738359864228046,1.177798808159238,0.0023941217137192637,21.27763149405725,P2 - Low heterogeneity,18,0.5
P2,0.14153748091542837,0.10548756198022166,0.004700207048854005,0.4889571914653478,3.235000070936821,1.1067795804603382,0.0022115082781280376,19.672701821378528,P2 - Low heterogeneity,20,0.5
P2,0.13428471385538582,0.10106741764794462,0.0045461688854528115,0.4573972596091277,2.9378806151250516,1.0187602747038906,0.0020756989775034883,17.7102656125899,P2 - Low heterogeneity,22,0.5
P2,0.13512449629509782,0.10064435097409571,0.004470096520903963,0.4677547391196136,2.981819057092484,1.0092030626694664,0.002011677931309799,18.278113185786953,P2 - Low heterogeneity,24,0.5
P2,0.13086503745728906,0.0982803823527837,0.00439952314313685,0.4477749368133676,2.7961071236081203,0.9630511909129353,0.0019448955126968393,16.9530205325438,P2 - Low heterogeneity,26,0.5
P2,0.12222124904938504,0.09219789030604514,0.004132180604224865,0.4164449859459099,2.459114595816361,0.848511652179958,0.0017158219949486,14.877487243027666,P2 - Low heterogeneity,28,0.5
P2,0.12472669770960622,0.09400709649193337,0.004252958976611995,0.42514460150740724,2.563820788321402,0.8811735703268323,0.0018138341592571735,15.558470200623962,P2 - Low heterogeneity,30,0.5
P2,0.19333844304292788,0.13517795081508685,0.005938606078877724,0.7214235476194526,5.832403319229392,1.8503766110955673,0.003578320264932616,36.49163595105793,P2 - Low heterogeneity,6,0.2
P2,0.17725577857978586,0.12621011560543793,0.005509689456932436,0.648451069175386,4.9603369417883885,1.6086374022470535,0.003085149781025569,31.001559066350453,P2 - Low heterogeneity,8,0.2
